category,strategy,priority,sharpe,cagr,max_drawdown,crisis_non_negative_count,source_file,how_it_works,drivers_ranked,indicators,signal_families,pair_universe,research_refs,improvement_ideas
Cat L: Volatility,L10-DynamicVolRegimeSwitch,watch_and_rework,0.84,0.15,-0.3501,2,src/financial_algo/strategies/volatility_strats.py,"Uses trend, carry, volatility with sma, volatility, momentum, regime. Primary tradable universe proxy: broad ETF universe.",trend_driver:1.5 | vol_driver:1.5 | carry_driver:1.0 | macro_driver:0.4 | reversion_driver:0.2 | ml_driver:0.1,sma | volatility | momentum | regime,trend | carry | volatility,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Koijen et al. (2018) - Carry | Baltas (2019) - Alternative Risk Premia",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat Q: Quality Trend,Q1-QualityTrend,optimize_winner,0.84,0.1432,-0.3675,4,src/financial_algo/strategies/quality_trend.py,"Uses trend, mean_reversion, carry, volatility with sma, rsi, volatility, momentum, regime. Primary tradable universe proxy: broad ETF universe.",reversion_driver:1.7 | trend_driver:1.5 | vol_driver:1.5 | carry_driver:1.0 | macro_driver:0.4 | ml_driver:0.1,sma | rsi | volatility | momentum | regime,trend | mean_reversion | carry | volatility,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Lehmann (1990) - Fads, Martingales, and Market Efficiency | Avellaneda, Lee (2010) - Statistical Arbitrage in US Equities",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat L: Volatility,L2-VolSpreadHarvest,watch_and_rework,0.85,0.1282,-0.3564,3,src/financial_algo/strategies/volatility_strats.py,"Uses trend, carry, volatility, pairs_statarb with sma, ema, volatility, regime. Primary tradable universe proxy: broad ETF universe.",vol_driver:1.5 | trend_driver:1.0 | carry_driver:1.0 | macro_driver:0.4,sma | ema | volatility | regime,trend | carry | volatility | pairs_statarb,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Koijen et al. (2018) - Carry | Baltas (2019) - Alternative Risk Premia",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat R: Regime Hardening,R7-VolExplosionAlpha,optimize_winner,0.85,0.1434,-0.3273,4,src/financial_algo/strategies/regime_hardening.py,"Uses mean_reversion, carry, volatility with sma, zscore, volatility, momentum, regime. Primary tradable universe proxy: broad ETF universe.",reversion_driver:1.5 | vol_driver:1.5 | carry_driver:1.0 | trend_driver:0.5 | macro_driver:0.4,sma | zscore | volatility | momentum | regime,mean_reversion | carry | volatility,,"Lehmann (1990) - Fads, Martingales, and Market Efficiency | Avellaneda, Lee (2010) - Statistical Arbitrage in US Equities | Koijen et al. (2018) - Carry | Baltas (2019) - Alternative Risk Premia",Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat L: Volatility,L3-VolTermStructure,optimize_winner,0.86,0.1486,-0.2452,4,src/financial_algo/strategies/volatility_strats.py,"Uses trend, carry, volatility, pairs_statarb with sma, ema, volatility, momentum, regime. Primary tradable universe proxy: broad ETF universe.",trend_driver:1.5 | vol_driver:1.5 | carry_driver:1.0 | macro_driver:0.4 | reversion_driver:0.2 | ml_driver:0.1,sma | ema | volatility | momentum | regime,trend | carry | volatility | pairs_statarb,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Koijen et al. (2018) - Carry | Baltas (2019) - Alternative Risk Premia",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat R: Regime Hardening,R3-DefensiveRotation,watch_and_rework,0.86,0.1452,-0.3156,3,src/financial_algo/strategies/regime_hardening.py,"Uses trend with momentum, regime. Primary tradable universe proxy: broad ETF universe.",trend_driver:1.5 | macro_driver:0.4,momentum | regime,trend,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states.
Cat D: Crash-Hedge (General),D3-VolCarry,watch_and_rework,0.89,0.1603,-0.3177,3,unknown,Uses mixed signals with custom transforms. Primary tradable universe proxy: broad ETF universe.,,,,,,
Cat F: Crypto Crisis,F3-CryptoGoldDivergence,watch_and_rework,0.89,0.1407,-0.3259,3,unknown,Uses mixed signals with custom transforms. Primary tradable universe proxy: broad ETF universe.,,,,,,
Benchmark,BuyHold-SPY,watch_and_rework,0.9,0.1641,-0.3299,0,unknown,Uses mixed signals with custom transforms. Primary tradable universe proxy: broad ETF universe.,,,,,,
Cat G: Fundamental/Sentiment,G2-FearGreedContrarian,optimize_winner,0.9,0.1529,-0.244,4,unknown,Uses mixed signals with custom transforms. Primary tradable universe proxy: broad ETF universe.,,,,,,
Cat O: Tail Risk,O1-TailRiskParity,optimize_winner,0.9,0.1626,-0.3291,4,src/financial_algo/strategies/tail_risk.py,"Uses volatility with volatility, regime. Primary tradable universe proxy: broad ETF universe.",vol_driver:1.5 | macro_driver:0.4 | reversion_driver:0.2 | ml_driver:0.1,volatility | regime,volatility,,"Carr, Wu (2009) - Variance Risk Premia | Israelov, Nielsen (2015) - Volatility Strategies",Blend carry and momentum in vol signals to avoid left-tail episodes. | Constrain gross exposure during abrupt vol-of-vol spikes.
Cat L: Volatility,L1-VolRiskPremium,watch_and_rework,0.92,0.1734,-0.3306,3,src/financial_algo/strategies/volatility_strats.py,"Uses carry, volatility with ema, volatility, regime. Primary tradable universe proxy: broad ETF universe.",vol_driver:1.5 | carry_driver:1.0 | macro_driver:0.4 | reversion_driver:0.2 | ml_driver:0.1,ema | volatility | regime,carry | volatility,,"Koijen et al. (2018) - Carry | Baltas (2019) - Alternative Risk Premia | Carr, Wu (2009) - Variance Risk Premia | Israelov, Nielsen (2015) - Volatility Strategies",Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size. | Blend carry and momentum in vol signals to avoid left-tail episodes. | Constrain gross exposure during abrupt vol-of-vol spikes.
Cat L: Volatility,L4-VolOfVolRegime,watch_and_rework,0.92,0.1786,-0.3126,3,src/financial_algo/strategies/volatility_strats.py,"Uses trend, mean_reversion, carry, volatility with sma, zscore, volatility, momentum, regime. Primary tradable universe proxy: broad ETF universe.",reversion_driver:1.7 | trend_driver:1.5 | vol_driver:1.5 | carry_driver:1.0 | macro_driver:0.4 | ml_driver:0.1,sma | zscore | volatility | momentum | regime,trend | mean_reversion | carry | volatility,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Lehmann (1990) - Fads, Martingales, and Market Efficiency | Avellaneda, Lee (2010) - Statistical Arbitrage in US Equities",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat L: Volatility,L11-VolRiskPremiumAdaptive,watch_and_rework,0.92,0.1738,-0.3316,3,unknown,Uses mixed signals with custom transforms. Primary tradable universe proxy: broad ETF universe.,reversion_driver:0.2 | ml_driver:0.1,,,,,
Cat O: Tail Risk,O7-PreciousMetalsCrisisHedge,watch_and_rework,0.92,0.1417,-0.3042,3,src/financial_algo/strategies/tail_risk.py,"Uses volatility with volatility, regime. Primary tradable universe proxy: broad ETF universe.",vol_driver:1.5 | macro_driver:0.4,volatility | regime,volatility,,"Carr, Wu (2009) - Variance Risk Premia | Israelov, Nielsen (2015) - Volatility Strategies",Blend carry and momentum in vol signals to avoid left-tail episodes. | Constrain gross exposure during abrupt vol-of-vol spikes.
Cat F: Crypto Crisis,F2-CryptoRecoverySurge,optimize_winner,0.93,0.1269,-0.3911,4,unknown,Uses mixed signals with custom transforms. Primary tradable universe proxy: broad ETF universe.,,,,,,
Cat D: Crash-Hedge (General),D2-CrashHedgeQQQ,optimize_winner,0.94,0.1818,-0.2482,4,unknown,Uses mixed signals with custom transforms. Primary tradable universe proxy: broad ETF universe.,reversion_driver:0.2 | ml_driver:0.1,,,,,
Cat L: Volatility,L6-CrossAssetVolSignal,optimize_winner,1.01,0.1767,-0.3027,5,src/financial_algo/strategies/volatility_strats.py,"Uses trend, mean_reversion, carry, volatility with sma, ema, rsi, zscore, volatility, regime. Primary tradable universe proxy: broad ETF universe.",reversion_driver:1.7 | vol_driver:1.5 | trend_driver:1.0 | carry_driver:1.0 | macro_driver:0.4 | ml_driver:0.1,sma | ema | rsi | zscore | volatility | regime,trend | mean_reversion | carry | volatility,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Lehmann (1990) - Fads, Martingales, and Market Efficiency | Avellaneda, Lee (2010) - Statistical Arbitrage in US Equities",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat R: Regime Hardening,R4-AdaptiveRiskBudget,optimize_winner,1.02,0.1856,-0.3044,5,src/financial_algo/strategies/regime_hardening.py,"Uses mean_reversion, carry with sma, rsi, regime. Primary tradable universe proxy: broad ETF universe.",reversion_driver:1.5 | carry_driver:1.0 | macro_driver:0.4,sma | rsi | regime,mean_reversion | carry,,"Lehmann (1990) - Fads, Martingales, and Market Efficiency | Avellaneda, Lee (2010) - Statistical Arbitrage in US Equities | Koijen et al. (2018) - Carry | Baltas (2019) - Alternative Risk Premia",Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat F: Crypto Crisis,F2b-CryptoRecoverySurgeATR,optimize_winner,1.07,0.156,-0.2396,4,unknown,Uses mixed signals with custom transforms. Primary tradable universe proxy: broad ETF universe.,,,,,,
Cat R: Regime Hardening,R6-BondEquityHedge,optimize_winner,1.07,0.1738,-0.2679,4,src/financial_algo/strategies/regime_hardening.py,"Uses trend, carry, macro_regime with sma, momentum, regime. Primary tradable universe proxy: broad ETF universe.",trend_driver:1.5 | macro_driver:1.4 | carry_driver:1.0,sma | momentum | regime,trend | carry | macro_regime,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Koijen et al. (2018) - Carry | Baltas (2019) - Alternative Risk Premia",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat R: Regime Hardening,R9-MultiAssetCTATrend,watch_and_rework,1.13,0.2089,-0.2866,2,src/financial_algo/strategies/regime_hardening.py,"Uses trend, mean_reversion, carry, volatility with sma, rsi, atr, volatility, momentum, regime. Primary tradable universe proxy: broad ETF universe.",trend_driver:1.5 | reversion_driver:1.5 | vol_driver:1.5 | carry_driver:1.0 | macro_driver:0.4,sma | rsi | atr | volatility | momentum | regime,trend | mean_reversion | carry | volatility,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Lehmann (1990) - Fads, Martingales, and Market Efficiency | Avellaneda, Lee (2010) - Statistical Arbitrage in US Equities",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat MF: Multi-Frequency,MF2-MonthlyMacroRegime,optimize_winner,1.24,0.222,-0.2643,5,src/financial_algo/strategies/multi_freq.py,"Uses trend, pairs_statarb, macro_regime, ml with momentum, regime. Primary tradable universe proxy: broad ETF universe.",trend_driver:1.5 | macro_driver:1.4 | ml_driver:1.0,momentum | regime,trend | pairs_statarb | macro_regime | ml,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Gatev, Goetzmann, Rouwenhorst (2006) - Pairs Trading | Do and Faff (2010) - Pairs Performance and Risks",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Refresh pair universe with stability and half-life constraints. | Use stop-loss and spread-regime controls for divergence risk.
Ensemble,Ensemble-BestOfEach,optimize_winner,1.33,0.2441,-0.1859,4,unknown,Uses mixed signals with custom transforms. Primary tradable universe proxy: broad ETF universe.,reversion_driver:0.2 | ml_driver:0.1,,,,,
